Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score,Product/Service,Category,Rating,Response Time (mins),Resolution Status
"It was okay, nothing special.",Neutral,Website Testimonial,2023-08-29 06:04:00,user10000,Toronto,0.78,Website,Customer Support,4,152,Resolved
Received wrong item.,Negative,Amazon Reviews,2023-06-01 09:31:00,user10001,Toronto,0.88,Mobile App,Delivery,5,133,Resolved
Product quality is acceptable.,Neutral,Website Testimonial,2023-09-16 21:12:00,user10002,London,0.76,Gift Card,Usability,5,103,Resolved
Slow response from team.,Negative,Yelp,2023-08-26 02:44:00,user10003,Berlin,0.74,Website,Billing,3,134,Escalated
Great quality and quick delivery.,Positive,TripAdvisor,2023-06-23 16:11:00,user10004,Paris,0.71,Delivery Service,Billing,3,165,Resolved
Chatbot was useless and unhelpful.,Negative,Amazon Reviews,2023-06-22 18:19:00,user10005,Los Angeles,0.73,Premium Plan,Product Quality,4,39,Resolved
"It was okay, nothing special.",Neutral,Spotify,2023-07-03 03:50:00,user10006,Mumbai,0.74,Subscription,Technical,2,170,Pending
Received wrong item.,Negative,TripAdvisor,2023-08-05 07:05:00,user10007,London,0.9,Product A,Website Experience,1,173,Resolved
Delivery took too long.,Negative,TripAdvisor,2023-06-01 14:25:00,user10008,Dubai,0.7,Gift Card,Refund,2,33,Resolved
Neither good nor bad.,Neutral,Website Testimonial,2023-08-17 13:23:00,user10009,Berlin,0.91,Product A,Website Experience,4,23,Resolved
Amazing service!,Positive,Email,2023-08-19 07:34:00,user10010,New York,0.79,Mobile App,Customer Support,4,146,Pending
Response time could be better.,Neutral,IMDb,2023-06-03 19:27:00,user10011,Sydney,0.78,Subscription,Billing,1,43,Escalated
Neither good nor bad.,Neutral,Email,2023-08-28 17:51:00,user10012,Paris,0.94,Delivery Service,Delivery,3,131,Resolved
Customer care was top-notch.,Positive,Twitter,2023-08-29 06:19:00,user10013,Berlin,0.77,Mobile App,Product Quality,5,72,Pending
Great quality and quick delivery.,Positive,IMDb,2023-06-04 13:02:00,user10014,Paris,0.73,Gift Card,Customer Support,1,83,Pending
Neither good nor bad.,Neutral,Website Testimonial,2023-07-27 12:43:00,user10015,Toronto,0.79,Premium Plan,Refund,2,173,Escalated
Received wrong item.,Negative,Twitter,2023-08-05 08:31:00,user10016,Paris,0.9,Website,Refund,1,13,Resolved
Delivery took too long.,Negative,Twitter,2023-06-27 22:35:00,user10017,Berlin,0.8,Website,Billing,4,151,Pending
"It was okay, nothing special.",Neutral,IMDb,2023-09-01 04:52:00,user10018,Toronto,0.9,Delivery Service,Delivery,5,169,Resolved
Neither good nor bad.,Neutral,IMDb,2023-09-14 11:51:00,user10019,Dubai,0.87,Customer Portal,Delivery,3,83,Resolved
I will definitely recommend this to friends.,Positive,TripAdvisor,2023-07-14 12:50:00,user10020,Paris,0.72,Product A,Technical,2,74,Resolved
Website kept crashing.,Negative,ChatSupport,2023-06-19 13:27:00,user10021,New York,0.84,Customer Portal,Customer Support,5,150,Resolved
I will definitely recommend this to friends.,Positive,Email,2023-06-26 06:12:00,user10022,Paris,0.72,Product B,Refund,4,110,Resolved
Amazing service!,Positive,Email,2023-06-19 08:20:00,user10023,Singapore,0.93,Customer Portal,Delivery,1,151,Pending
